timestamp,event title
2019/11/03 14:05:07,青銀共賞電影
2019/11/03 16:05:12,青銀共賞電影
2019/11/03 19:50:37,青銀共賞電影
2019/11/03 20:07:23,青銀共賞電影
2019/11/03 21:43:55,青銀共賞電影
2019/11/03 23:40:34,青銀共賞電影
2019/11/04 9:52:47,青銀共賞電影
2019/11/04 12:24:40,青銀共賞電影
2019/11/06 10:20:46,青銀共賞電影
2019/11/06 15:50:08,青銀共賞電影
2019/11/06 16:30:24,青銀共賞電影
2019/11/06 16:35:33,青銀共賞電影
2019/11/06 17:59:37,青銀共賞電影
2019/11/06 18:12:28,青銀共賞電影
2019/11/06 19:41:25,青銀共賞電影
2019/11/06 23:00:36,青銀共賞電影
2019/11/07 11:32:27,青銀共賞電影
2019/11/07 20:50:34,青銀共賞電影
2019/11/08 13:03:56,青銀共賞電影
2019/10/09 16:07:09,北大玩具節
2019/10/09 17:00:20,北大玩具節
2019/10/09 20:18:16,北大玩具節
2019/10/09 22:19:26,北大玩具節
2019/11/19 13:28:31,北大玩具節
2019/11/19 13:37:50,北大玩具節
2019/11/19 15:06:24,北大玩具節
2019/11/19 19:11:45,北大玩具節
2019/11/19 19:12:55,北大玩具節
2019/11/19 19:48:13,北大玩具節
2019/11/19 20:33:51,北大玩具節
2019/11/19 20:32:14,北大玩具節
2019/11/19 21:52:21,北大玩具節
2019/11/20 11:04:08,北大玩具節
2019/11/20 18:36:28,北大玩具節
2019/11/20 18:45:29,北大玩具節
2019/11/20 19:58:17,北大玩具節
2019/11/20 20:01:57,北大玩具節
2019/11/20 10:18:00,北大玩具節
2019/11/21 15:31:01,北大玩具節
2019/11/21 16:29:01,北大玩具節
2019/11/21 16:55:59,北大玩具節
2019/11/22 12:06:15,北大玩具節
2019/11/22 12:39:01,北大玩具節
2019/11/22 15:20:41,北大玩具節
2019/11/22 17:00:22,北大玩具節
2019/11/22 17:03:19,北大玩具節
2019/11/22 18:37:36,北大玩具節
2019/11/22 19:05:35,北大玩具節
2019/11/22 19:22:30,北大玩具節
2019/11/22 19:27:39,北大玩具節
2019/11/22 23:14:46,北大玩具節
2019/11/23 8:30:19,北大玩具節
2019/11/23 9:01:54,北大玩具節
2019/11/23 10:02:33,北大玩具節
2019/11/23 11:27:44,北大玩具節
2019/11/23 13:52:53,北大玩具節
2019/12/16 12:03:14,聖誕點燈暨北大管樂節
2019/12/16 12:28:31,聖誕點燈暨北大管樂節
2019/12/16 13:26:08,聖誕點燈暨北大管樂節
2019/12/16 15:29:53,聖誕點燈暨北大管樂節
2019/12/16 18:48:09,聖誕點燈暨北大管樂節
2019/12/17 9:05:45,聖誕點燈暨北大管樂節
2019/12/17 9:24:37,聖誕點燈暨北大管樂節
2019/12/17 10:57:29,聖誕點燈暨北大管樂節
2019/12/17 13:00:40,聖誕點燈暨北大管樂節
2019/12/17 14:34:56,聖誕點燈暨北大管樂節
2019/12/17 15:23:10,聖誕點燈暨北大管樂節
2019/12/17 20:55:34,聖誕點燈暨北大管樂節
2019/12/17 21:34:26,聖誕點燈暨北大管樂節
2019/12/17 23:57:08,聖誕點燈暨北大管樂節
2019/12/18 0:24:06,聖誕點燈暨北大管樂節
,
address,
北大玩具節,http://usrsoc.ntpu.edu.tw/news/2019/10/09/ntpuusr.html
,http://usrsoc.ntpu.edu.tw/news/2019/11/18/ntpuusr.html
,
青銀共賞電影,http://usrsoc.ntpu.edu.tw/news/2019/11/03/ntpuusr.html
,http://usrsoc.ntpu.edu.tw/news/2019/11/06/2-ntpuusr.html
,
聖誕點燈暨北大管樂節,http://usrsoc.ntpu.edu.tw/news/2019/12/16/1-ntpuusr.html
